hr,lat,lon,mag,fingure_print
1,-16.88,65.56,6.7,990.7402
2,-61.14,81.67,6.29,1445.664
3,-65.93,86.25,4.61,1202.4895
4,-47.98,73.81,5.51,1880.7886
5,-3.92,62.97,5.96,790.2148
6,-66.38,-141.61,5.7,1433.1918
7,1.75,61.94,5.59,1009.655
8,-32.83,68.74,6.13,1112.8182
9,-79.14,127.79,6.18,1259.5809
10,-75.9,105.64,6.19,639.7266
11,-63.29,81.98,6.43,1013.2014
12,-79.07,124.44,5.94,1311.9358
13,-78.67,-175.91,5.68,1415.6697
14,-63.24,81.66,6.07,1047.2904
15,-32.84,68.27,2.06,1124.8232
16,-69.04,88.21,5.99,1224.8391
17,-25.45,66.55,6.19,1206.4044
18,-76.25,105.31,6.06,656.8796
19,-36.42,69.03,6.23,1137.4573
20,17.0,59.02,6.01,1452.23
21,-3.27,62.48,2.27,876.3492
22,-43.51,71.01,5.53,2048.6355
23,-62.02,-136.25,6.33,2004.987
24,-80.63,154.76,5.42,965.9287
25,-69.6,-144.34,3.88,1728.6333
26,-50.43,73.13,5.51,1411.9598
27,-16.21,64.48,5.03,1048.4779
28,-5.26,62.62,6.74,1082.7017
29,-66.03,83.01,5.84,1322.328
30,-34.77,-124.63,5.28,1026.2743
31,-72.6,92.31,5.85,1620.7908
32,-43.58,-126.98,6.64,1083.6759
33,-75.06,97.76,4.89,1241.6953
34,-81.13,153.7,5.41,957.73224
35,-78.34,-167.16,5.25,1661.5592
36,-14.2,63.84,6.16,1097.9795
37,-77.1,103.68,5.25,796.106
38,-24.55,65.45,6.73,898.3042
39,-46.68,70.57,2.83,1831.4911
40,-35.12,67.44,6.3,1015.2319
41,-21.27,64.73,5.72,1201.4594
42,-81.49,141.72,5.94,1158.6578
43,-81.54,143.48,6.31,1128.0493
44,-29.02,66.01,6.25,1122.9468
45,-41.83,68.7,4.8,1938.6008
46,-68.76,83.13,5.12,1007.34827
47,-32.06,-123.91,5.77,1367.2792
48,-78.23,104.89,4.44,802.7614
49,-39.81,68.08,6.24,2072.2925
50,-52.98,72.14,5.79,1110.563
51,-70.44,84.94,5.75,1051.0669
52,-30.7,66.07,6.45,931.5659
53,-34.9,66.9,6.35,1121.801
54,-78.99,-165.8,6.17,1511.9865
55,14.22,59.11,6.35,1011.8921
56,-18.82,63.77,6.15,1174.3928
57,-81.18,178.47,5.67,1435.3606
58,-41.02,-125.79,6.49,1013.56476
59,-53.64,71.72,6.11,1220.1096
60,-1.06,61.17,5.74,912.4053
61,-79.47,107.87,6.47,1000.26825
62,-14.53,62.99,5.89,1206.3182
63,-23.7,64.38,4.61,860.2145
64,-38.2,-125.07,6.77,1005.82996
65,-11.09,62.41,6.14,1252.2407
66,-78.78,102.79,6.45,841.7483
67,-60.07,74.11,6.17,1958.3826
68,-25.61,64.41,4.52,964.8533
69,-50.83,70.0,6.05,1154.8877
70,-18.68,63.3,6.11,1147.2191
71,-30.84,65.21,5.87,877.54456
