hr,lat,lon,mag,fingure_print
1,-16.88,65.56,6.7,1572.9501
2,-61.14,81.67,6.29,2378.8516
3,-65.93,86.25,4.61,1897.9048
4,-47.98,73.81,5.51,2034.9083
5,-3.92,62.97,5.96,1592.7034
6,-66.38,-141.61,5.7,2562.531
7,1.75,61.94,5.59,1958.0078
8,-32.83,68.74,6.13,1459.5962
9,-79.14,127.79,6.18,1995.4412
10,-75.9,105.64,6.19,1113.9491
11,-63.29,81.98,6.43,1667.996
12,-79.07,124.44,5.94,1959.8486
13,-78.67,-175.91,5.68,1962.6119
14,-63.24,81.66,6.07,1668.6719
15,-32.84,68.27,2.06,1492.9747
16,-69.04,88.21,5.99,1494.1787
17,-25.45,66.55,6.19,1417.549
18,-76.25,105.31,6.06,1088.0671
19,-36.42,69.03,6.23,1813.8888
20,17.0,59.02,6.01,1910.4004
21,-3.27,62.48,2.27,1532.6755
22,-43.51,71.01,5.53,2475.4575
23,-62.02,-136.25,6.33,2729.9802
24,-80.63,154.76,5.42,1575.7588
25,-69.6,-144.34,3.88,2260.1611
26,-50.43,73.13,5.51,1637.9927
27,-16.21,64.48,5.03,1507.0061
28,-5.26,62.62,6.74,1829.1832
29,-66.03,83.01,5.84,1808.6946
30,-34.77,-124.63,5.28,2167.1484
31,-72.6,92.31,5.85,2175.9934
32,-43.58,-126.98,6.64,1732.8578
33,-75.06,97.76,4.89,1669.1215
34,-81.13,153.7,5.41,1396.9066
35,-78.34,-167.16,5.25,1999.4594
36,-14.2,63.84,6.16,1505.6259
37,-77.1,103.68,5.25,1181.1381
38,-24.55,65.45,6.73,1169.2042
39,-46.68,70.57,2.83,2127.6646
40,-35.12,67.44,6.3,1475.101
41,-21.27,64.73,5.72,1526.6354
42,-81.49,141.72,5.94,1452.5332
43,-81.54,143.48,6.31,1417.3185
44,-29.02,66.01,6.25,1594.572
45,-41.83,68.7,4.8,2238.5337
46,-68.76,83.13,5.12,1321.2415
47,-32.06,-123.91,5.77,2479.9204
48,-78.23,104.89,4.44,1127.6266
49,-39.81,68.08,6.24,2419.044
50,-52.98,72.14,5.79,1283.8313
51,-70.44,84.94,5.75,1318.3445
52,-30.7,66.07,6.45,1198.1377
53,-34.9,66.9,6.35,1443.1682
54,-78.99,-165.8,6.17,1827.0701
55,14.22,59.11,6.35,1550.3146
56,-18.82,63.77,6.15,1419.6173
57,-81.18,178.47,5.67,1745.6948
58,-41.02,-125.79,6.49,1491.755
59,-53.64,71.72,6.11,1346.8558
60,-1.06,61.17,5.74,1491.7446
61,-79.47,107.87,6.47,1118.8414
62,-14.53,62.99,5.89,1402.2728
63,-23.7,64.38,4.61,1179.6987
64,-38.2,-125.07,6.77,1800.9294
65,-11.09,62.41,6.14,1635.6101
66,-78.78,102.79,6.45,1147.9167
67,-60.07,74.11,6.17,2265.0376
68,-25.61,64.41,4.52,1090.3893
69,-50.83,70.0,6.05,1428.0033
70,-18.68,63.3,6.11,1358.0525
71,-30.84,65.21,5.87,1112.3344
72,-69.4,80.71,6.46,1248.9867
73,-72.58,-143.2,6.33,1635.1238
74,-70.19,81.02,3.56,1291.2428
75,-21.74,63.54,6.33,1604.0679
76,-13.68,62.37,6.52,1513.9215
77,-51.9,-128.35,4.23,1316.3918
78,-31.47,64.87,5.9,1181.2063
79,-29.52,64.47,5.79,1254.5046
80,-53.9,70.09,5.37,1370.8876
81,-51.18,69.07,6.56,1424.2186
82,-24.52,63.63,5.18,1027.7253
83,-47.27,-126.87,5.51,1790.3853
84,-83.15,164.48,5.18,1626.917
85,-80.2,102.49,5.12,1234.0552
86,-48.78,67.81,6.23,1836.5516
87,-39.58,-125.04,5.97,1429.2361
88,-73.64,82.66,6.39,2151.907
89,-82.7,-178.89,6.55,1439.2585
90,-23.98,62.93,7.39,1247.8158
91,-10.63,61.32,5.57,1178.4988
93,-0.88,60.21,5.4,1333.7483
94,-64.27,72.73,6.07,1880.2625
96,-9.62,61.08,5.74,1137.9102
97,-60.26,70.27,5.77,1976.4507
98,-39.77,-124.81,2.8,1393.5132
99,-73.98,-140.02,2.39,1508.59
100,-72.68,-138.42,3.94,1626.8376
101,-62.27,70.5,6.19,1816.2815
102,-84.35,132.16,5.98,1719.5748
103,-44.62,64.9,5.06,2066.9312
104,-18.28,61.43,5.17,1364.2684
105,-82.23,-162.36,4.81,1617.1012
106,-46.06,65.11,6.06,1900.8892
107,-52.26,66.38,6.04,1890.4155
108,-81.4,96.13,6.43,1677.9037
109,-76.35,-141.94,5.43,1681.2859
110,-25.75,62.06,6.26,1462.4813
111,-66.2,-131.91,6.26,1736.2349
112,14.2,58.26,6.21,1484.3794
113,-2.79,59.71,5.94,1189.6323
114,-32.89,62.58,5.23,1381.1555
115,-76.75,80.42,6.14,1946.1698
116,-83.15,-164.92,6.57,1495.5524
117,-66.27,70.43,5.72,1679.6674
118,-84.19,113.13,5.19,1522.2902
119,-75.53,-138.97,6.19,1538.3416
120,-68.52,-132.52,5.69,1180.9039
121,3.73,59.06,6.18,1264.3065
122,-29.1,61.84,5.87,1613.155
123,-8.24,59.95,4.73,931.3269
124,-9.92,60.09,5.6,930.2407
125,-67.98,-131.75,4.77,1351.6167
126,-54.02,-126.78,4.37,835.5422
127,-54.01,-126.78,4.54,900.43756
128,-19.24,60.71,6.7,1333.7336
129,8.16,58.56,6.42,1530.7816
130,0.14,59.16,4.16,1554.8756
131,-42.36,63.06,5.38,1781.4547
132,-55.61,65.45,5.67,2260.2693
133,-35.1,62.18,6.67,1226.3994
134,-34.41,62.04,6.3,1224.862
135,-7.88,59.72,5.93,981.5563
136,-53.97,-126.54,5.09,919.17285
137,3.93,58.75,6.48,1312.9353
138,-85.4,179.99,5.55,1861.4493
139,-45.79,-125.01,6.13,1545.3752
140,-64.55,-128.97,5.57,1549.4799
141,-49.3,63.23,6.4,1546.032
142,-66.15,67.11,5.2,1531.3511
143,-63.1,65.88,5.93,1944.632
144,-8.64,59.33,5.08,869.54443
145,-49.49,62.89,6.41,1536.7615
146,-2.49,58.92,5.79,1192.7153
