HR,GLON,GLAT,Vmag
1,114.44,-16.88,6.7
2,98.33,-61.14,6.29
3,93.75,-65.93,4.61
4,106.19,-47.98,5.51
5,117.03,-3.92,5.96
6,-38.39,-66.38,5.7
7,118.06,1.75,5.59
8,111.26,-32.83,6.13
9,52.21,-79.14,6.18
10,74.36,-75.9,6.19
11,98.02,-63.29,6.43
12,55.56,-79.07,5.94
13,-4.09,-78.67,5.68
14,98.34,-63.24,6.07
15,111.73,-32.84,2.06
16,91.79,-69.04,5.99
17,113.45,-25.45,6.19
18,74.69,-76.25,6.06
19,110.97,-36.42,6.23
20,120.98,17,6.01
21,117.52,-3.27,2.27
22,108.99,-43.51,5.53
23,-43.75,-62.02,6.33
24,25.24,-80.63,5.42
25,-35.66,-69.6,3.88
26,106.87,-50.43,5.51
27,115.52,-16.21,5.03
28,117.38,-5.26,6.74
29,96.99,-66.03,5.84
30,-55.37,-34.77,5.28
31,87.69,-72.6,5.85
32,-53.02,-43.58,6.64
33,82.24,-75.06,4.89
34,26.3,-81.13,5.41
35,-12.84,-78.34,5.25
36,116.16,-14.2,6.16
37,76.32,-77.1,5.25
38,114.55,-24.55,6.73
39,109.43,-46.68,2.83
40,112.56,-35.12,6.3
41,115.27,-21.27,5.72
42,38.28,-81.49,5.94
43,36.52,-81.54,6.31
44,113.99,-29.02,6.25
45,111.3,-41.83,4.8
46,96.87,-68.76,5.12
47,-56.09,-32.06,5.77
48,75.11,-78.23,4.44
49,111.92,-39.81,6.24
50,107.86,-52.98,5.79
51,95.06,-70.44,5.75
52,113.93,-30.7,6.45
53,113.1,-34.9,6.35
54,-14.2,-78.99,6.17
55,120.89,14.22,6.35
56,116.23,-18.82,6.15
57,1.53,-81.18,5.67
58,-54.21,-41.02,6.49
59,108.28,-53.64,6.11
60,118.83,-1.06,5.74
61,72.13,-79.47,6.47
62,117.01,-14.53,5.89
63,115.62,-23.7,4.61
64,-54.93,-38.2,6.77
65,117.59,-11.09,6.14
66,77.21,-78.78,6.45
67,105.89,-60.07,6.17
68,115.59,-25.61,4.52
69,110,-50.83,6.05
70,116.7,-18.68,6.11
71,114.79,-30.84,5.87
72,99.29,-69.4,6.46
73,-36.8,-72.58,6.33
74,98.98,-70.19,3.56
75,116.46,-21.74,6.33
76,117.63,-13.68,6.52
77,-51.65,-51.9,4.23
78,115.13,-31.47,5.9
79,115.53,-29.52,5.79
80,109.91,-53.9,5.37
81,110.93,-51.18,6.56
82,116.37,-24.52,5.18
83,-53.13,-47.27,5.51
84,15.52,-83.15,5.18
85,77.51,-80.2,5.12
86,112.19,-48.78,6.23
87,-54.96,-39.58,5.97
88,97.34,-73.64,6.39
89,-1.11,-82.7,6.55
90,117.07,-23.98,7.39
91,118.68,-10.63,5.57
93,119.79,-0.88,5.4
94,107.27,-64.27,6.07
96,118.92,-9.62,5.74
97,109.73,-60.26,5.77
98,-55.19,-39.77,2.8
99,-39.98,-73.98,2.39
100,-41.58,-72.68,3.94
101,109.5,-62.27,6.19
102,47.84,-84.35,5.98
103,115.1,-44.62,5.06
104,118.57,-18.28,5.17
105,-17.64,-82.23,4.81
106,114.89,-46.06,6.06
107,113.62,-52.26,6.04
108,83.87,-81.4,6.43
109,-38.06,-76.35,5.43
110,117.94,-25.75,6.26
111,-48.09,-66.2,6.26
112,121.74,14.2,6.21
113,120.29,-2.79,5.94
114,117.42,-32.89,5.23
115,99.58,-76.75,6.14
116,-15.08,-83.15,6.57
117,109.57,-66.27,5.72
118,66.87,-84.19,5.19
119,-41.03,-75.53,6.19
120,-47.48,-68.52,5.69
121,120.94,3.73,6.18
122,118.16,-29.1,5.87
123,120.05,-8.24,4.73
124,119.91,-9.92,5.6
125,-48.25,-67.98,4.77
126,-53.22,-54.02,4.37
127,-53.22,-54.01,4.54
128,119.29,-19.24,6.7
129,121.44,8.16,6.42
130,120.84,0.14,4.16
131,116.94,-42.36,5.38
132,114.55,-55.61,5.67
133,117.82,-35.1,6.67
134,117.96,-34.41,6.3
135,120.28,-7.88,5.93
136,-53.46,-53.97,5.09
137,121.25,3.93,6.48
138,0.01,-85.4,5.55
139,-54.99,-45.79,6.13
140,-51.03,-64.55,5.57
141,116.77,-49.3,6.4
142,112.89,-66.15,5.2
143,114.12,-63.1,5.93
144,120.67,-8.64,5.08
145,117.11,-49.49,6.41
146,121.08,-2.49,5.79
147,-49.73,-68.9,5.51
148,-52.17,-62.16,6.06
149,118.81,-35.5,6.5
150,105.75,-77.33,6.45
151,83.1,-84.48,6.06
152,120.18,-18.31,5.13
153,120.78,-8.91,3.66
154,119.47,-29.05,4.36
155,117.7,-47.49,5.89
156,118.74,-38.74,6.47
157,119.7,-27.38,5.48
158,122.53,19.63,6.4
159,68.68,-86.03,5.57
160,-54.54,-51.93,6.42
161,116.06,-59.55,6.39
162,-52.59,-62.61,6.41
163,119.57,-33.47,4.37
164,120.88,-13.47,5.43
165,119.87,-31.94,3.27
166,119.18,-41.53,5.87
167,119.36,-41.35,5.36
168,121.42,-6.3,2.23
169,-55.78,-43.96,6.85
170,-37.87,-82.73,6.69
171,-50.35,-72.18,6.01
172,108.92,-79.09,6.49
173,85.79,-85.86,6.14
174,116.05,-67.08,5.91
175,120.76,-23.37,5.33
176,-54.44,-57.61,5.89
177,121.98,3.29,5.83
178,120.09,-38.19,6.04
179,121.41,-12.33,4.8
180,-51.69,-70.94,4.59
181,121.77,-4.1,6.17
183,-54.35,-60.57,5.7
184,121.52,-15.82,4.94
185,-48.46,-78.52,6.06
186,-55.08,-56.83,5.98
187,-55.57,-51.63,5.39
188,111.31,-80.68,2.04
189,121.72,-14.99,5.67
190,115.84,-74.78,6.02
191,-54.92,-59.63,4.36
192,122.55,12.12,5.66
193,121.78,-14.57,4.54
194,116.69,-73.39,4.76
195,-49.86,-78.6,5.9
196,122.05,-7.64,5.42
197,106.02,-84.66,5.24
198,-52.64,-74.4,5.94
199,-55.69,-54.61,6.07
200,122.5,6.46,6.33
201,119,-67.46,6.15
202,-54.93,-63.39,6.15
203,117.05,-75.68,6.15
204,122.19,-7.56,6.52
205,121.95,-18,6.05
206,115.55,-79.21,6.47
207,122.33,-3.29,6.39
208,122.69,11.98,5.41
209,-54.32,-69.54,5.8
210,108.14,-85.24,5.5
211,121.19,-47.38,5.38
212,122.68,9.8,5.87
213,121.22,-50.88,5.5
214,121.57,-43.28,6.13
215,121.74,-38.59,4.06
216,121.13,-56.12,5.99
217,121.82,-41.94,6.54
218,117.34,-80.89,5.7
219,122.6,-5.05,3.44
