HR,Color,GLON,GLAT
7464,ffffffff,359.88,-25.72
7029,ffffffff,359.8,-14.08
7169,ffffffff,359.76,-17.73
7170,ffffffff,359.76,-17.74
6893,ffffffff,359.75,-9.94
6078,ffffffff,359.59,24.44
8685,ffffffff,359.57,-62.25
7152,ffffffff,359.54,-17.32
7254,ffffffff,359.54,-19.59
5706,ffffffff,359.53,43.45
7232,ffffffff,359.46,-19.08
7639,ffffffff,359.42,-30.04
6002,ffffffff,359.41,27.93
6777,ffffffff,359.32,-6.42
5779,ffffffff,359.28,38.75
6645,ffffffff,359.24,-1.88
6879,ffffffff,359.2,-9.81
7129,ffffffff,359.16,-17.02
6061,ffffffff,359.07,25.04
6202,ffffffff,359.06,17.02
6386,ffffffff,358.98,8.23
5185,ffffffff,358.95,73.88
7422,ffffffff,358.92,-24.81
89,ffffffff,358.89,-82.7
6833,ffffffff,358.83,-8.47
7026,ffffffff,358.77,-14.47
7197,ffffffff,358.75,-18.57
7779,ffffffff,358.75,-34.13
8477,ffffffff,358.68,-54.97
8202,ffffffff,358.65,-46.06
8486,ffffffff,358.65,-55.16
6291,ffffffff,358.6,12.31
7268,ffffffff,358.54,-20.25
6190,ffffffff,358.46,16.97
6788,ffffffff,358.45,-7.1
7787,ffffffff,358.34,-34.44
8600,ffffffff,358.33,-59.17
6401,ffffffff,358.3,6.88
6402,ffffffff,358.3,6.88
8602,ffffffff,358.27,-59.26
8042,ffffffff,358.19,-41.49
5996,ffffffff,358.18,27.16
7259,ffffffff,358.14,-20.17
8488,ffffffff,358.11,-55.26
6628,ffffffff,358.03,-2.09
6459,ffffffff,358.02,4.54
7581,ffffffff,357.97,-29.11
8241,ffffffff,357.95,-47.36
6118,ffffffff,357.93,20.68
8790,ffffffff,357.92,-65.25
6889,ffffffff,357.83,-10.73
5254,ffffffff,357.75,69.98
7348,ffffffff,357.71,-23.09
7255,ffffffff,357.62,-20.26
6310,ffffffff,357.57,10.59
7706,ffffffff,357.57,-32.39
6308,ffffffff,357.46,10.57
6874,ffffffff,357.44,-10.5
5816,ffffffff,357.32,35.87
5815,ffffffff,357.31,35.87
5594,ffffffff,357.28,48.48
6354,ffffffff,357.24,8.47
6494,ffffffff,357.23,2.88
7021,ffffffff,357.21,-15.04
7156,ffffffff,357.2,-18.27
6492,ffffffff,357.08,2.85
6870,ffffffff,356.99,-10.58
6387,ffffffff,356.95,6.74
7242,ffffffff,356.86,-20.24
7627,ffffffff,356.85,-30.27
7943,ffffffff,356.83,-39.02
7136,ffffffff,356.8,-18.08
5385,ffffffff,356.56,61.33
5386,ffffffff,356.56,61.33
5388,ffffffff,356.48,61.08
5137,ffffffff,356.46,75.91
6832,ffffffff,356.44,-9.68
5941,ffffffff,356.39,28.63
5394,ffffffff,356.35,60.92
6651,ffffffff,356.34,-3.98
6153,ffffffff,356.3,17.83
5707,ffffffff,356.23,41.06
6587,ffffffff,356.21,-1.7
6668,ffffffff,356.21,-4.44
6104,ffffffff,356.17,20.18
7334,ffffffff,356.15,-23.18
5573,ffffffff,356.13,49.22
5780,ffffffff,356.08,36.36
6856,ffffffff,356.07,-10.59
6748,ffffffff,356.04,-7.33
6648,ffffffff,356.03,-4.04
5330,ffffffff,356,64
6952,ffffffff,356,-13.33
7031,ffffffff,356,-15.77
7846,ffffffff,356,-36.45
8644,ffffffff,356,-60.2
6739,ffffffff,355.99,-7
6953,ffffffff,355.99,-13.33
5927,ffffffff,355.92,28.9
13,ffffffff,355.91,-78.67
6662,ffffffff,355.9,-4.49
6657,ffffffff,355.86,-4.38
6660,ffffffff,355.86,-4.48
6663,ffffffff,355.84,-4.54
5200,ffffffff,355.81,72.4
6053,ffffffff,355.81,22.85
6772,ffffffff,355.75,-8.17
6658,ffffffff,355.72,-4.47
6647,ffffffff,355.69,-4.22
6535,ffffffff,355.67,0.05
5930,ffffffff,355.62,28.55
6652,ffffffff,355.57,-4.45
7257,ffffffff,355.55,-20.98
6921,ffffffff,355.54,-12.66
7050,ffffffff,355.51,-16.54
6403,ffffffff,355.38,4.71
6193,ffffffff,355.34,14.23
6910,ffffffff,355.33,-12.57
5511,ffffffff,355.28,52.68
6708,ffffffff,355.28,-6.69
5896,ffffffff,355.27,29.89
6225,ffffffff,355.26,12.64
8145,ffffffff,355.26,-44.65
5777,ffffffff,355.24,35.79
6076,ffffffff,355.21,20.95
8236,ffffffff,355.16,-46.99
6012,ffffffff,355.15,23.82
5243,ffffffff,355.12,70.09
6862,ffffffff,355.12,-11.35
5669,ffffffff,355.07,42.4
6653,ffffffff,355.05,-4.76
7177,ffffffff,355.04,-19.6
8937,ffffffff,355.04,-70.36
7392,ffffffff,355.03,-24.84
6942,ffffffff,354.99,-13.55
5954,ffffffff,354.92,26.72
7188,ffffffff,354.91,-19.83
6948,ffffffff,354.87,-13.74
6026,ffffffff,354.61,22.71
6027,ffffffff,354.61,22.7
6691,ffffffff,354.57,-6.42
6671,ffffffff,354.53,-5.57
5599,ffffffff,354.49,46.28
7630,ffffffff,354.49,-30.68
7350,ffffffff,354.48,-24.03
5590,ffffffff,354.4,46.72
6517,ffffffff,354.39,-0.05
6366,ffffffff,354.33,5.83
5536,ffffffff,354.23,50.31
6066,ffffffff,353.98,20.6
6522,ffffffff,353.98,-0.47
5424,ffffffff,353.97,57.44
7952,ffffffff,353.95,-39.24
7122,ffffffff,353.85,-18.85
6422,ffffffff,353.77,2.93
8556,ffffffff,353.77,-57.05
5501,ffffffff,353.72,51.97
6051,ffffffff,353.72,21.16
6112,ffffffff,353.69,17.69
6113,ffffffff,353.69,17.69
7337,ffffffff,353.61,-23.93
8818,ffffffff,353.6,-65.18
5908,ffffffff,353.54,27.72
7461,ffffffff,353.53,-27.06
6409,ffffffff,353.52,3.08
6630,ffffffff,353.5,-4.94
8484,ffffffff,353.42,-54.42
6216,ffffffff,353.35,11.87
7343,ffffffff,353.28,-24.11
8560,ffffffff,353.28,-57.06
7416,ffffffff,353.26,-25.97
5985,ffffffff,353.2,23.6
6389,ffffffff,353.2,3.91
5984,ffffffff,353.19,23.6
5392,ffffffff,353.1,59.33
6141,ffffffff,353.1,15.8
5522,ffffffff,353,50.25
8177,ffffffff,352.92,-45.21
5847,ffffffff,352.91,30.68
6583,ffffffff,352.86,-3.69
8771,ffffffff,352.86,-63.75
5723,ffffffff,352.84,37.34
6931,ffffffff,352.81,-14.23
