x,y,z
-5.938711706,13.06756001,-4.355522774
-1.048899483,7.16368394,-13.13702563
-0.400122393,6.104688033,-13.6957178
-2.799624812,9.642653225,-11.14366814
-6.800906318,13.33027078,-1.02545316
4.710675167,-3.732296662,-13.74334388
-7.052647932,13.23065841,0.458077698
-4.570307232,11.74645595,-8.132223835
1.731776212,2.23339722,-14.7313573
0.985150493,3.518925994,-14.54808023
-0.940652749,6.67618189,-13.39939431
1.608485197,2.345618864,-14.72789352
2.939388478,-0.210182336,-14.7076789
-0.979620406,6.682391175,-13.39350559
-4.665983562,11.70725205,-8.134423566
-0.167605975,5.363123168,-14.0074558
-5.389979217,12.42574555,-6.445849181
0.941383711,3.438761111,-14.57013105
-4.31970752,11.27085831,-8.905497171
-7.38370795,12.29827564,4.385575571
-6.919588447,13.28108472,-0.855619328
-3.539999845,10.28673805,-10.3272175
5.0836002,-4.866488492,-13.24667123
2.208988397,1.041355304,-14.79986315
4.248173293,-3.04812728,-14.05922984
-2.772961228,9.144100652,-11.56270337
-6.205479448,12.99837947,-4.18738057
-6.869298421,13.2635498,-1.37513127
-0.741600739,6.048580555,-13.70637449
7.002120579,-10.13878997,-8.554253051
0.180797899,4.481966766,-14.31360493
6.536405608,-8.68040584,-10.34050077
0.522152257,3.831697162,-14.49294497
2.073479931,1.024777611,-14.82061105
2.9557486,-0.673699965,-14.69046216
-6.411126401,13.0521233,-3.679610788
0.791976428,3.253753456,-14.62141791
-5.668901019,12.4105561,-6.232307635
-3.423380526,9.70499366,-10.91299976
-4.707100408,11.33037139,-8.629362077
-5.967084226,12.64059039,-5.441450225
1.742472062,1.375134186,-14.83485076
1.773479891,1.313264358,-14.83678219
-5.33297398,11.98368415,-7.276723359
-4.06002396,10.41342297,-10.00384064
-0.650014474,5.395114038,-13.98106669
7.0921151,-10.55020265,-7.962105711
0.786246585,2.957008752,-14.68461493
-4.301512022,10.6895637,-9.603656708
-2.769861954,8.596171653,-11.97638082
-0.442926721,5.002336157,-14.13437119
-5.231602187,11.78911246,-7.658143769
-4.826640332,11.3158999,-8.582188102
2.777174729,-0.702733241,-14.72390799
-7.464914929,12.47790567,3.684686568
-6.275191896,12.73603585,-4.838941778
2.299141778,0.061409816,-14.82262379
6.618485484,-9.18013314,-9.844836485
-2.789341167,8.444074723,-12.07961829
-7.231948808,13.13856594,-0.277491521
0.841176901,2.609003689,-14.74739032
-6.594311742,12.93648331,-3.763303359
-5.938994742,12.3845423,-6.02921665
6.773026979,-9.647776597,-9.27612593
-6.81739156,13.04601259,-2.885260436
0.646126072,2.846233803,-14.71330943
-2.049088388,7.198148635,-12.99953434
-5.842416743,12.19952813,-6.483647125
-3.240419175,8.902978512,-11.62912968
-6.384747497,12.69465737,-4.804234984
-5.400096703,11.69223897,-7.689636108
-0.851975297,5.208402907,-14.04089304
3.595770701,-2.689980164,-14.31203828
-0.793486912,5.021222518,-14.11232451
-6.208217965,12.47355896,-5.55592986
-6.759058793,12.91241553,-3.547484955
5.742724898,-7.25851891,-11.80402533
-5.433147475,11.58273633,-7.830780777
-5.625524305,11.77828187,-7.390910123
-3.009706227,8.309689923,-12.11984826
-3.359055421,8.782695253,-11.68678787
-6.061644769,12.22717509,-6.225162807
6.106913941,-8.142521618,-11.01839116
1.723822557,0.478706373,-14.89292705
0.552166121,2.492719225,-14.78111848
-3.733087179,9.152216656,-11.28277406
6.637747394,-9.465614134,-9.557324866
-0.539783109,4.190452503,-14.39266278
1.905611467,-0.036922325,-14.87841664
-6.236995393,12.20391043,-6.096265962
-7.075220652,12.93387104,-2.766989837
-7.451458527,13.01624729,-0.230374404
-1.933238334,6.218379539,-13.51274752
-7.151814309,12.9448074,-2.506693711
-2.511984928,7.004144007,-13.02428111
6.581568018,-9.466109517,-9.595610092
3.172041027,-2.659772155,-14.41748133
3.340418293,-2.963677626,-14.31985407
-2.329832879,6.579245087,-13.27725171
0.991213109,1.094690589,-14.92712796
-4.529055735,9.668498689,-10.53602331
-6.811471664,12.50870198,-4.704915372
1.932596354,-0.614540979,-14.86228148
-4.380733101,9.441796279,-10.80100275
-3.678616721,8.412015883,-11.86194621
0.239521281,2.230204882,-14.83134572
2.78715872,-2.182271202,-14.57633145
-6.330287613,11.93567574,-6.516678861
4.043296586,-4.504745733,-13.72439502
-7.649876308,12.3668855,3.679610788
-7.556685915,12.93690093,-0.730131667
-5.800450679,11.18064977,-8.145418506
-0.57216861,3.390060088,-14.60068888
1.727447892,-0.465454381,-14.89292705
-2.021944548,5.687702066,-13.73178013
0.596475142,1.396389935,-14.92294584
2.827435855,-2.460452826,-14.52417909
3.712191481,-4.048308165,-13.95818167
-7.695765933,12.83833938,0.975822102
