Image,Coordinates
image_00001.png,"[(445, 687), (139, 685), (226, 680), (142, 680), (130, 676), (221, 668), (200, 660), (185, 654), (270, 650), (106, 649), (277, 647), (585, 634), (167, 632), (188, 630), (311, 627), (509, 626), (443, 626), (170, 623), (201, 618), (394, 606), (66, 600), (711, 584), (616, 566), (10, 549), (106, 495), (329, 469), (618, 461), (56, 457), (500, 454), (516, 428), (631, 401), (313, 397), (347, 392), (469, 376), (265, 304), (342, 302), (105, 289), (393, 284), (440, 258), (40, 254), (679, 253), (291, 252), (418, 249), (118, 247), (452, 237), (473, 219), (485, 209), (295, 203), (446, 194), (407, 170), (113, 131), (177, 130), (682, 116), (281, 116), (180, 107), (376, 74), (126, 70), (283, 68), (504, 47), (619, 46), (492, 29), (677, 22), (214, 21), (475, 19), (667, 16), (435, 0)]"
image_00002.png,"[(512, 711), (602, 699), (437, 694), (2, 683), (241, 676), (537, 666), (335, 666), (65, 662), (564, 638), (563, 634), (668, 624), (34, 615), (424, 611), (207, 612), (211, 599), (471, 598), (641, 578), (194, 567), (172, 559), (341, 551), (385, 548), (261, 548), (435, 540), (629, 539), (607, 539), (262, 535), (662, 526), (456, 513), (97, 493), (436, 490), (221, 490), (207, 480), (88, 467), (258, 452), (444, 449), (656, 444), (517, 436), (349, 431), (50, 423), (278, 422), (368, 421), (34, 417), (590, 401), (111, 401), (196, 396), (453, 392), (82, 392), (40, 383), (61, 381), (548, 379), (107, 378), (615, 378), (217, 375), (151, 375), (85, 368), (125, 363), (114, 362), (698, 361), (160, 353), (46, 354), (206, 350), (684, 331), (33, 322), (163, 320), (293, 319), (156, 300), (343, 287), (633, 283), (464, 280), (97, 280), (316, 273), (511, 272), (73, 255), (116, 251), (279, 240), (575, 231), (187, 227), (554, 226), (472, 215), (596, 192), (466, 188), (435, 188), (280, 176), (440, 168), (455, 147), (435, 132), (633, 108), (609, 27), (19, 19), (649, 12), (409, 12)]"
image_00003.png,"[(213, 709), (470, 708), (63, 687), (263, 671), (280, 666), (418, 663), (477, 656), (231, 655), (520, 653), (140, 651), (345, 644), (537, 639), (85, 633), (122, 615), (57, 594), (188, 568), (215, 560), (474, 553), (41, 542), (352, 541), (29, 531), (33, 517), (474, 508), (253, 509), (508, 507), (169, 490), (162, 489), (636, 476), (588, 470), (652, 457), (320, 444), (230, 435), (246, 431), (52, 410), (217, 395), (467, 393), (466, 365), (494, 359), (380, 354), (528, 352), (223, 347), (240, 342), (331, 319), (704, 315), (402, 302), (229, 299), (85, 291), (536, 289), (567, 270), (171, 268), (560, 262), (576, 262), (557, 250), (566, 234), (78, 225), (86, 205), (620, 199), (354, 183), (349, 183), (27, 176), (259, 163), (69, 154), (115, 154), (614, 148), (361, 146), (558, 134), (121, 129), (569, 128), (205, 126), (480, 113), (569, 95), (317, 91), (232, 64), (586, 45), (701, 36), (167, 27), (627, 10)]"
image_00004.png,"[(56, 716), (279, 707), (337, 705), (450, 703), (661, 693), (513, 692), (541, 683), (384, 674), (361, 656), (599, 655), (514, 654), (250, 642), (497, 638), (466, 607), (403, 604), (674, 602), (172, 599), (23, 587), (329, 584), (58, 551), (230, 507), (132, 487), (180, 483), (715, 479), (435, 470), (12, 463), (366, 457), (387, 438), (297, 437), (281, 437), (96, 434), (355, 414), (235, 403), (664, 397), (467, 393), (350, 385), (681, 381), (360, 372), (68, 368), (260, 367), (449, 359), (557, 358), (132, 358), (361, 346), (159, 335), (529, 328), (488, 326), (566, 320), (621, 310), (157, 307), (579, 296), (479, 296), (166, 295), (81, 292), (335, 289), (177, 290), (168, 285), (394, 265), (710, 263), (485, 262), (105, 249), (45, 234), (383, 225), (268, 218), (92, 207), (352, 200), (399, 182), (185, 180), (567, 136), (173, 130), (139, 122), (701, 95), (322, 89), (27, 79), (147, 59), (371, 51), (114, 19), (44, 16), (270, 6)]"
image_00005.png,"[(352, 695), (92, 685), (287, 673), (636, 661), (300, 650), (600, 639), (281, 606), (213, 604), (80, 601), (654, 594), (668, 581), (211, 568), (367, 567), (222, 556), (699, 554), (125, 523), (552, 506), (225, 504), (51, 500), (600, 487), (651, 483), (570, 456), (527, 443), (255, 440), (2, 430), (539, 421), (499, 421), (225, 410), (632, 396), (621, 371), (700, 370), (119, 335), (388, 334), (354, 328), (400, 316), (650, 296), (259, 288), (634, 262), (134, 260), (199, 259), (48, 221), (691, 214), (452, 214), (97, 214), (321, 214), (556, 213), (196, 200), (41, 190), (455, 143), (162, 137), (522, 135), (32, 125), (584, 121), (303, 87), (139, 75), (456, 74), (171, 59), (544, 46), (414, 5)]"
image_00006.png,"[(710, 702), (479, 668), (550, 660), (606, 643), (174, 634), (162, 634), (254, 609), (704, 603), (74, 582), (167, 551), (174, 546), (532, 540), (254, 537), (220, 537), (688, 535), (636, 535), (703, 531), (91, 517), (433, 481), (206, 481), (598, 474), (189, 470), (514, 458), (115, 457), (309, 456), (503, 455), (128, 432), (677, 423), (179, 423), (643, 402), (464, 396), (676, 393), (93, 381), (72, 380), (3, 380), (718, 378), (413, 378), (328, 370), (429, 366), (555, 356), (420, 354), (195, 334), (69, 333), (462, 331), (154, 318), (427, 314), (490, 303), (310, 283), (281, 277), (330, 276), (304, 272), (61, 269), (40, 245), (465, 230), (160, 203), (124, 194), (344, 184), (451, 170), (332, 158), (684, 152), (43, 151), (31, 123), (587, 121), (485, 117), (111, 103), (23, 102), (599, 90), (673, 69), (519, 68), (609, 63), (93, 56), (612, 53), (659, 49), (687, 45), (654, 32), (689, 32), (499, 22), (295, 17), (215, 2)]"
image_00007.png,"[(441, 718), (343, 713), (226, 710), (337, 709), (539, 705), (315, 705), (553, 704), (206, 703), (206, 699), (212, 697), (188, 693), (67, 688), (185, 687), (99, 687), (166, 686), (550, 685), (234, 682), (548, 674), (286, 667), (191, 665), (127, 664), (623, 658), (197, 652), (529, 648), (342, 647), (197, 646), (356, 643), (160, 642), (544, 637), (191, 638), (435, 636), (25, 625), (283, 618), (558, 611), (278, 611), (121, 608), (648, 596), (70, 565), (349, 554), (288, 548), (223, 543), (478, 535), (237, 522), (644, 509), (295, 509), (367, 497), (142, 496), (277, 493), (706, 486), (149, 486), (635, 450), (90, 450), (576, 445), (693, 441), (687, 437), (600, 435), (58, 423), (94, 421), (690, 393), (435, 390), (178, 388), (116, 372), (271, 367), (52, 366), (455, 365), (136, 364), (331, 361), (316, 356), (446, 355), (149, 347), (123, 344), (79, 344), (679, 334), (70, 317), (128, 314), (228, 301), (717, 300), (155, 280), (283, 259), (384, 255), (9, 251), (87, 226), (206, 223), (379, 212), (322, 212), (76, 173), (346, 170), (226, 136), (188, 123), (84, 111), (146, 102), (198, 84), (324, 72), (68, 45), (462, 28)]"
image_00008.png,"[(273, 717), (699, 693), (555, 681), (176, 582), (221, 580), (147, 550), (448, 543), (467, 526), (144, 521), (267, 505), (36, 500), (505, 488), (718, 484), (391, 478), (309, 428), (483, 418), (443, 415), (98, 410), (313, 400), (190, 390), (604, 385), (380, 386), (397, 379), (442, 367), (616, 344), (116, 286), (714, 285), (21, 280), (398, 256), (255, 249), (638, 243), (580, 221), (407, 219), (167, 202), (495, 190), (137, 177), (650, 173), (198, 132), (252, 130), (350, 105), (261, 71), (336, 61), (172, 55), (653, 22), (397, 20), (366, 16), (430, 0)]"
image_00009.png,"[(68, 688), (573, 675), (608, 597), (584, 595), (451, 582), (325, 565), (584, 553), (201, 535), (246, 531), (158, 523), (463, 505), (401, 469), (546, 469), (369, 467), (92, 457), (206, 450), (502, 398), (257, 398), (266, 390), (119, 384), (418, 355), (148, 327), (317, 316), (461, 297), (43, 270), (689, 251), (364, 241), (181, 239), (197, 232), (213, 204), (198, 186), (654, 178), (234, 172), (290, 172), (109, 157), (175, 114), (346, 114), (490, 107), (93, 100), (188, 77), (443, 40), (63, 22)]"
image_00010.png,"[(97, 707), (536, 690), (152, 689), (98, 690), (445, 668), (35, 652), (204, 649), (133, 643), (188, 638), (495, 630), (706, 624), (328, 621), (484, 601), (316, 593), (494, 587), (620, 583), (418, 574), (1, 573), (654, 560), (181, 553), (416, 542), (422, 537), (583, 532), (346, 515), (167, 501), (343, 482), (642, 478), (185, 472), (508, 462), (439, 458), (80, 457), (512, 455), (585, 453), (456, 453), (416, 452), (205, 426), (161, 422), (38, 413), (515, 410), (96, 408), (559, 405), (121, 397), (114, 396), (479, 395), (611, 390), (408, 383), (460, 372), (589, 360), (415, 357), (653, 356), (546, 353), (541, 344), (392, 341), (659, 338), (620, 336), (178, 332), (500, 327), (422, 326), (679, 323), (583, 318), (335, 317), (698, 316), (711, 292), (718, 283), (659, 273), (29, 273), (418, 261), (378, 261), (519, 249), (557, 240), (538, 231), (107, 227), (322, 217), (295, 189), (289, 186), (275, 187), (163, 171), (112, 168), (192, 166), (159, 166), (346, 156), (408, 147), (147, 132), (268, 129), (436, 128), (337, 118), (147, 112), (697, 109), (269, 94), (656, 85), (609, 80), (472, 68), (674, 68), (420, 35), (267, 34), (641, 28), (259, 17), (431, 8), (485, 6), (440, 3), (322, 1)]"
