HR,Name,GLON,GLON_shifted,GLAT,Vmag
1,,114.44,65.56,-16.88,6.7
2,,98.33,81.67,-61.14,6.29
3,33    Psc,93.75,86.25,-65.93,4.61
4,86    Peg,106.19,73.81,-47.98,5.51
5,,117.03,62.97,-3.92,5.96
6,,321.61,-141.61,-66.38,5.7
7,10    Cas,118.06,61.94,1.75,5.59
8,,111.26,68.74,-32.83,6.13
9,,52.21,127.79,-79.14,6.18
10,,74.36,105.64,-75.9,6.19
11,,98.02,81.98,-63.29,6.43
12,,55.56,124.44,-79.07,5.94
13,,355.91,-175.91,-78.67,5.68
14,,98.34,81.66,-63.24,6.07
15,21Alp And,111.73,68.27,-32.84,2.06
16,,91.79,88.21,-69.04,5.99
17,,113.45,66.55,-25.45,6.19
18,,74.69,105.31,-76.25,6.06
19,,110.97,69.03,-36.42,6.23
20,,120.98,59.02,17,6.01
21,11Bet Cas,117.52,62.48,-3.27,2.27
22,87    Peg,108.99,71.01,-43.51,5.53
23,,316.25,-136.25,-62.02,6.33
24,Kap1Scl,25.24,154.76,-80.63,5.42
25,Eps Phe,324.34,-144.34,-69.6,3.88
26,34    Psc,106.87,73.13,-50.43,5.51
27,22    And,115.52,64.48,-16.21,5.03
28,,117.38,62.62,-5.26,6.74
29,,96.99,83.01,-66.03,5.84
30,Gam3Oct,304.63,-124.63,-34.77,5.28
31,,87.69,92.31,-72.6,5.85
32,,306.98,-126.98,-43.58,6.64
33,6    Cet,82.24,97.76,-75.06,4.89
34,Kap2Scl,26.3,153.7,-81.13,5.41
35,The Scl,347.16,-167.16,-78.34,5.25
36,,116.16,63.84,-14.2,6.16
37,,76.32,103.68,-77.1,5.25
38,,114.55,65.45,-24.55,6.73
39,88Gam Peg,109.43,70.57,-46.68,2.83
40,,112.56,67.44,-35.12,6.3
41,23    And,115.27,64.73,-21.27,5.72
42,,38.28,141.72,-81.49,5.94
43,,36.52,143.48,-81.54,6.31
44,,113.99,66.01,-29.02,6.25
45,89Chi Peg,111.3,68.7,-41.83,4.8
46,,96.87,83.13,-68.76,5.12
47,,303.91,-123.91,-32.06,5.77
48,7    Cet,75.11,104.89,-78.23,4.44
49,,111.92,68.08,-39.81,6.24
50,35    Psc,107.86,72.14,-52.98,5.79
51,,95.06,84.94,-70.44,5.75
52,,113.93,66.07,-30.7,6.45
53,,113.1,66.9,-34.9,6.35
54,,345.8,-165.8,-78.99,6.17
55,,120.89,59.11,14.22,6.35
56,,116.23,63.77,-18.82,6.15
57,,1.53,178.47,-81.18,5.67
58,,305.79,-125.79,-41.02,6.49
59,36    Psc,108.28,71.72,-53.64,6.11
60,,118.83,61.17,-1.06,5.74
61,,72.13,107.87,-79.47,6.47
62,,117.01,62.99,-14.53,5.89
63,24The And,115.62,64.38,-23.7,4.61
64,,305.07,-125.07,-38.2,6.77
65,,117.59,62.41,-11.09,6.14
66,,77.21,102.79,-78.78,6.45
67,,105.89,74.11,-60.07,6.17
68,25Sig And,115.59,64.41,-25.61,4.52
69,,110,70,-50.83,6.05
70,26    And,116.7,63.3,-18.68,6.11
71,,114.79,65.21,-30.84,5.87
72,,99.29,80.71,-69.4,6.46
73,,323.2,-143.2,-72.58,6.33
74,8Iot Cet,98.98,81.02,-70.19,3.56
75,,116.46,63.54,-21.74,6.33
76,,117.63,62.37,-13.68,6.52
77,Zet Tuc,308.35,-128.35,-51.9,4.23
78,,115.13,64.87,-31.47,5.9
79,,115.53,64.47,-29.52,5.79
80,41    Psc,109.91,70.09,-53.9,5.37
81,,110.93,69.07,-51.18,6.56
82,27Rho And,116.37,63.63,-24.52,5.18
83,Pi  Tuc,306.87,-126.87,-47.27,5.51
84,Iot Scl,15.52,164.48,-83.15,5.18
85,,77.51,102.49,-80.2,5.12
86,42    Psc,112.19,67.81,-48.78,6.23
87,,305.04,-125.04,-39.58,5.97
